study_group,hours_studied,score,major,passed
Control,3.7,84.2,Business,No
AI_Tool,5.6,83.2,CS,Yes
AI_Tool,4.2,88.6,CS,Yes
Control,3.2,68.5,Business,Yes
AI_Tool,5.0,69.7,Biology,Yes
AI_Tool,5.6,86.8,Business,No
AI_Tool,5.1,72.0,Business,Yes
AI_Tool,5.5,73.1,Biology,Yes
AI_Tool,4.0,75.4,Biology,No
AI_Tool,4.5,80.2,Business,Yes
AI_Tool,4.0,76.5,Biology,Yes
Control,4.5,61.3,Business,Yes
Control,3.8,68.6,Biology,Yes
AI_Tool,2.4,57.8,Business,Yes
Control,5.3,81.3,CS,Yes
Control,4.4,59.0,Biology,No
Control,2.6,64.0,Biology,Yes
Control,5.7,75.5,Business,Yes
Control,3.6,67.6,Business,No
AI_Tool,5.1,95.4,CS,Yes
Control,6.1,62.1,Business,No
AI_Tool,5.2,82.7,Biology,Yes
AI_Tool,6.7,79.6,Business,Yes
Control,3.1,63.3,CS,Yes
Control,5.6,80.2,Biology,Yes
AI_Tool,4.0,78.3,Business,Yes
AI_Tool,3.7,87.7,CS,Yes
AI_Tool,4.1,88.2,Business,Yes
AI_Tool,4.5,101.6,Biology,Yes
Control,5.1,88.4,Business,No
AI_Tool,3.3,76.3,Biology,No
Control,6.4,72.6,CS,Yes
AI_Tool,5.7,91.0,CS,Yes
Control,2.7,81.6,Biology,Yes
AI_Tool,7.2,86.4,CS,Yes
AI_Tool,7.8,63.8,Business,Yes
Control,6.8,74.8,CS,Yes
AI_Tool,4.7,72.6,Biology,No
AI_Tool,3.4,82.8,Business,Yes
Control,6.6,74.0,CS,Yes
Control,4.4,84.1,Business,No
AI_Tool,6.8,83.2,CS,Yes
Control,5.3,82.9,CS,Yes
AI_Tool,6.5,75.3,Biology,Yes
AI_Tool,5.5,70.6,CS,Yes
AI_Tool,6.1,75.9,Biology,No
AI_Tool,5.0,79.8,CS,Yes
AI_Tool,7.7,83.8,Business,No
Control,5.2,97.6,CS,Yes
AI_Tool,5.6,79.6,Business,No
Control,7.8,65.4,Biology,No
AI_Tool,3.0,76.5,CS,Yes
AI_Tool,3.1,75.4,Business,No
AI_Tool,6.5,84.8,CS,Yes
AI_Tool,3.2,64.6,Business,Yes
Control,7.9,75.6,CS,Yes
AI_Tool,4.4,81.6,Business,No
Control,3.9,77.3,Business,Yes
Control,7.9,69.0,CS,No
AI_Tool,7.2,77.6,CS,Yes
AI_Tool,7.8,65.8,Business,No
Control,6.4,70.1,Biology,Yes
AI_Tool,3.7,74.6,Biology,Yes
Control,7.9,79.2,Biology,Yes
AI_Tool,4.6,68.4,Biology,Yes
Control,6.2,82.8,CS,No
Control,6.4,89.9,Business,No
Control,4.8,54.3,Biology,Yes
Control,5.9,79.3,Biology,Yes
Control,6.4,81.8,Biology,Yes
AI_Tool,5.6,73.6,Biology,Yes
AI_Tool,3.4,76.0,Business,Yes
Control,5.4,73.7,CS,No
Control,7.0,72.0,Business,Yes
Control,4.0,71.9,Biology,Yes
AI_Tool,4.8,63.2,Biology,Yes
AI_Tool,4.3,91.5,Biology,Yes
Control,7.8,85.8,Biology,Yes
AI_Tool,6.0,71.9,Business,Yes
Control,5.6,60.3,CS,Yes
Control,3.8,80.2,Biology,Yes
AI_Tool,5.8,74.2,Business,Yes
Control,4.0,76.4,Biology,No
AI_Tool,5.0,76.8,Biology,Yes
AI_Tool,4.0,86.9,Biology,No
AI_Tool,6.0,86.9,Business,Yes
AI_Tool,5.9,72.7,CS,Yes
AI_Tool,4.7,66.2,Business,Yes
AI_Tool,5.6,64.2,Business,Yes
Control,3.4,81.1,Business,No
AI_Tool,2.8,68.1,Business,Yes
AI_Tool,5.7,74.9,Business,Yes
Control,5.3,69.0,CS,Yes
Control,6.0,74.5,Biology,No
AI_Tool,8.6,60.6,Biology,No
Control,6.4,76.9,Business,No
Control,3.6,80.2,Business,Yes
AI_Tool,6.7,80.9,Business,Yes
AI_Tool,3.0,76.9,Biology,Yes
Control,4.3,76.0,Biology,Yes
AI_Tool,4.9,84.0,Biology,Yes
Control,7.6,47.3,Business,No
Control,3.9,94.6,Business,Yes
AI_Tool,3.8,83.9,Biology,No
Control,4.9,68.5,Business,Yes
Control,4.0,71.1,CS,No
Control,6.7,79.9,Biology,Yes
AI_Tool,3.4,78.8,Biology,No
AI_Tool,3.3,59.7,Business,Yes
Control,4.3,95.6,CS,No
AI_Tool,4.3,78.9,Biology,No
Control,7.9,85.2,CS,Yes
Control,6.4,68.1,CS,Yes
Control,5.1,90.4,Business,Yes
Control,3.2,77.9,Biology,Yes
Control,6.3,81.1,CS,Yes
AI_Tool,3.5,69.5,Biology,Yes
Control,2.7,87.1,Business,Yes
AI_Tool,6.8,86.9,Biology,Yes
Control,5.5,88.0,Business,Yes
